Name,Address,Price,Size,Distance to beach,Distance to airport,Pool,Car,Non-smoking room,Near beach,WiFi,Family room,Bar,Breakfast
Muong Thanh My Khe Beach Apartment Da Nang,"51 Trần Bạch Đằng, Đà Nẵng, Việt Nam",1530,70,0.15,4.4,1,0,0,0,1,0,0,0
SeaColor Beachstay Danang Hotel by Haviland,"446 Võ Nguyên Giáp, Đà Nẵng, Việt Nam",389,25,0.3,4.4,0,1,1,0,0,1,0,0
Palazzo Luxury Hotel,"Số 230-232-234 Trần Bạch Đằng, P. Mỹ An, Q.Ngũ Hành Sơn, TP. Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam",900,28,0.15,4.4,1,1,1,1,1,1,0,0
Sunny Ocean Hotel & Spa,"90 Tran Bach Dang, Ngu Hanh Son, 550000 Đà Nẵng, Việt Nam",753,24,0.15,4.4,1,1,1,0,1,1,1,0
Gold Summer 2 Hotel,"47 Phước Trường 11, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng, Việt Nam",250,25,0.4,4.8,0,0,1,0,1,1,0,0
Centre Hotel,"18-20 Pham Phu Thu, Hai Chau, Đà Nẵng, Việt Nam",513,22,2.3,2.5,0,1,1,0,1,1,0,0
Dana Marina Boutique Hotel,"47 Vo Van Kiet Street, Phuoc My Ward, Son Tra District, Đà Nẵng, Việt Nam",646,28,0.25,4.5,1,1,1,1,1,1,1,0
King House Villa Hotel & Spa,"25 My Khe 1, Đà Nẵng, Việt Nam",504,27,0.65,4.1,1,0,1,0,1,1,1,0
Titan Hotel Da Nang,"102-104 Ho Xuan Huong, Đà Nẵng, Việt Nam",494,20,0.6,4.1,0,0,1,0,1,1,0,0
Benzen Boutique Stays,"59 Cao Bá Quát, Đà Nẵng, Việt Nam",476,25,1.7,3.1,0,1,1,0,1,1,1,0
Quang Minh Riverside Hotel Danang,"453 Đường Trần Hưng Đạo, Đà Nẵng, Việt Nam",616,22,1.7,3.0,0,1,1,0,1,0,0,0
Casa Rosa Apartment,"K227/68 Nguyen Van Thoai Street, Son Tra Ward, Đà Nẵng, Việt Nam",471,28,0.2,4.4,0,1,1,0,1,0,0,0
Seashore Hotel & Apartment,"Lot 15 - 16 Hoang Sa Opposite Man Thai Beach, Đà Nẵng, Việt Nam",898,35,0.02,6.0,1,1,1,1,1,1,1,0
Areca Riverside Đà Nẵng,"361 Tran Hung Dao, Ward An Hai Tay, Son Tra Dist., Đà Nẵng, Việt Nam",399,20,1.8,3.0,0,0,1,0,1,1,0,0
Dolphin Hotel and Apartment,"09 Tan Thuan, Đà Nẵng, Việt Nam",756,40,0.15,5.0,1,0,1,0,1,1,0,0
Golden Lotus Grand,"86 Lê Quang Đạo, Đà Nẵng, Việt Nam",1395,32,0.35,4.2,1,1,1,0,1,1,1,1
Cosmos Hotel Danang,"117-119 Ngô Thì Sỹ, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng, Việt Nam",918,28,0.25,4.3,1,1,1,1,1,1,1,0
Dragon Hotel Apartment,"17 Hà Thị Thân, Đà Nẵng, Việt Nam",352,20,1.6,3.2,0,1,1,0,1,1,0,0
Nagila Boutique Hotel,"Lô 11-12 Khu H1, Vệt KTQĐ đường từ cầu sông Hàn ra biển, P. An Hải Bắc, Q. Sơn Trà, Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam",832,32,1.1,3.8,1,1,1,0,1,1,1,0
RHM Luxury Hotel And Suite,"Số 02 An Tu Cong Chua, Phuong My An, Quan Ngu Hanh Son, Đà Nẵng, Việt Nam",1184,24,1.4,3.4,1,1,1,0,1,1,1,0
Aria Grand Hotel & Spa,"63-65-67 Phan Ton St, My An Ward, Ngu Hanh Son District,, Đà Nẵng, Việt Nam",974,25,0.35,4.2,1,1,1,0,1,1,1,0
Roliva Hotel & Apartment Danang,"12 Pham Van Dong, Đà Nẵng, Việt Nam",470,28,1.2,3.8,1,1,1,0,1,1,1,0
Palazzo 3 Danang Hotel,"19-21 An Thượng 2, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",750,25,0.15,4.4,1,1,1,1,1,1,1,0
Meliá Vinpearl Danang Riverfront,"341 Tran Hung Dao Street, An Hai Bac Ward, Son Tra Ward, Đà Nẵng, Việt Nam",1846,41,1.6,3.7,1,1,1,0,1,1,1,0
May Home Apartment Da Nang,"07-09 Lý Văn Tố, An Hải, An Hải Bắc, Sơn Trà, Đà Nẵng, Đà Nẵng, Việt Nam",611,30,0.5,4.3,0,0,1,0,1,0,0,0
The Pergola Design Hotel,"K35/37 Duong Dinh Nghe, Đà Nẵng, Việt Nam",575,17,0.25,4.5,0,1,1,0,1,1,1,0
Mercy Emerald Hotel,"180 Nguyễn Văn Thoại, Đà Nẵng, Việt Nam",895,22,0.2,4.4,1,1,1,0,1,1,1,0
Gold Boutique Hotel Danang,"1357 Nguyen Tat Thanh, Thanh Khe, Đà Nẵng, Việt Nam",500,30,0.02,1.9,1,0,1,1,1,1,0,0
Gold Hotel Da Nang by Haviland,"24 Nui Thanh, Đà Nẵng, Việt Nam",486,20,2.9,1.8,0,0,1,0,1,1,0,0
Maison Vy Anh Hotel & Apartment,"121 Cao Bá Quát, Đà Nẵng, Việt Nam",530,28,1.6,3.2,0,0,0,0,1,1,0,0
Golden Sun Hotel Danang,"95 Võ Văn Kiệt, Đà Nẵng, Việt Nam",585,15,0.25,4.4,0,1,1,1,0,1,1,0
Century Hotel Da Nang,"101 Võ Văn Kiệt, Đà Nẵng, Việt Nam",794,28,0.5,4.2,1,1,1,0,1,1,1,0
Thành Nhân Hotel,"14 Le Dinh Ly, Thanh Khe, Đà Nẵng, Việt Nam",350,16,1.9,0.9,0,0,1,0,1,1,0,0
Grand Citiview Da Nang Hotel,"532, Street 2/9, Hoa Cuong Nam Ward,Hai Chau District, Đà Nẵng, Việt Nam",1000,22,3.1,1.8,1,0,0,0,1,1,0,1
Sofia Suite Hotel Danang,"09 Lê Quang Đạo, Sơn Trà, Đà Nẵng, Việt Nam",389,22,0.35,4.2,0,1,1,0,1,1,1,0
Nhat Linh hotel & Apartment,"194 Nguyen Chi Thanh, Đà Nẵng, Việt Nam",500,20,2.3,2.1,0,1,1,0,1,1,0,0
Dong Duong Hotel & Suites,"62 Thai Phien, Đà Nẵng, Việt Nam",1075,25,2.4,2.2,1,1,1,0,1,1,1,0
DLG Hotel Danang,"258 Vo Nguyen Giap, Phuoc My Ward, Son Tra District, Đà Nẵng, Việt Nam",2101,32,0.03,4.6,1,1,1,1,1,1,1,0
Luxtery Hotel & Spa,"136 Pham Van Dong, Son Tra District, Đà Nẵng, Việt Nam",1091,28,1.1,3.8,1,1,1,0,1,1,1,0
Chicland Danang Beach Hotel,"210 Vo Nguyen Giap, Đà Nẵng, Việt Nam",1980,27,0.1,4.7,1,1,1,1,1,1,1,0
Sun River Hotel & Apartment,"78 Che Lan Vien , Đà Nẵng, Việt Nam",965,40,0.55,4.1,1,1,1,0,1,1,0,0
Nhu Minh Plaza Danang Hotel,"Lô 2 - A2 - KH Đường Phạm Văn Đồng, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng, Việt Nam",846,30,0.95,3.9,1,1,1,1,1,1,1,0
Boy's House,"K35/23A Dương ĐÌnh Nghệ, Đà Nẵng, Việt Nam",250,20,0.25,4.5,0,0,0,0,1,1,0,0
M SUITE Danang Beach,"Lô 08 Võ Nguyên Giáp Sơn Trà, Đà Nẵng, Việt Nam",2991,40,0.03,4.8,1,1,1,1,1,1,1,0
Mercury Boutique Hotel & Apartment Da Nang,"125 -127 Nguyen Van Linh, Đà Nẵng, Việt Nam",486,16,2.2,1.6,0,1,1,0,1,1,1,0
Golden Line Hotel Danang,"63-65-67 Đỗ Bí Phường Mỹ An - Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",756,20,0.2,4.4,1,1,1,1,1,1,1,0
HAIAN Beach Hotel & Spa,"278 Vo Nguyen Giap, Đà Nẵng, Việt Nam",1263,28,0.02,4.6,1,1,1,1,1,1,1,0
Sun River Hotel,"Bach Dang, Hai Chau, Đà Nẵng, Việt Nam",620,22,2.3,2.6,0,1,1,0,1,1,1,0
Hilton Da Nang,"50 Bach Dang St, Hai Chau District, Đà Nẵng, Việt Nam",2722,36,2.4,2.8,1,0,1,0,1,1,1,0
Mường Thanh Grand Seaview Đà Nẵng Apartment,"51 Trần Bạch Đằng, Đà Nẵng, Việt Nam",1500,70,0.1,4.4,1,0,0,0,1,0,1,0
Chu Hotel,"02-04-06 An Thuong 1, Bac My An Beach, Đà Nẵng, Việt Nam",612,22,0.1,4.5,0,1,1,1,1,0,1,0
De Lamour Hotel,"46 Vo Nguyen Giap Lo 7 - 8, Đà Nẵng, Việt Nam",527,18,0.007,5.0,1,1,1,1,1,1,0,0
Lis Hotel,"204 Chính Hữu, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam",378,16,0.7,4.0,0,1,1,0,1,1,0,0
Tashi Home,"Phước Trường 15, Phước Mỹ, Sơn Trà, Đà Nẵng 28, Đà Nẵng, Việt Nam",351,20,0.45,4.7,0,0,1,0,1,0,0,0
DA NANG BAY HOTEL,"52 Võ Nguyên Giáp Mân Thái, Đà Nẵng, Việt Nam",470,28,0.02,5.0,0,0,1,1,1,1,1,0
The Nang Suites,"74/31 Võ Văn Kiệt, Đà Nẵng, Việt Nam",635,21,0.95,3.8,0,0,1,0,1,1,0,0
TGT BEACH HOTEL,"19 Dương Đình Nghệ, Đà Nẵng, Việt Nam",899,25,0.25,4.6,1,1,1,1,1,1,0,0
Rosamia Da Nang Hotel,"282 Vo Nguyen Giap, Đà Nẵng, Việt Nam",2472,28,0.02,4.6,0,1,1,1,1,1,1,0
Central Hotel & Spa Danang by Haviland,"21 - 23 Hoang Dieu, Hai Chau, Đà Nẵng, Việt Nam",464,22,2.1,1.9,1,0,1,0,1,1,1,0
Cordial Hotel and Spa,"30 Loseby Street, An Hai Bac Ward, Son Tra District, Đà Nẵng, Việt Nam",625,20,0.55,4.5,1,1,1,0,1,1,1,0
